tri,sqr,tri.sum,sqr.sum
91,67,1072,989
62,61,1072,989
55,59,1072,989
54,58,1072,989
52,52,1072,989
51,50,1072,989
51,46,1072,989
49,45,1072,989
49,44,1072,989
47,43,1072,989
46,43,1072,989
45,40,1072,989
45,39,1072,989
42,38,1072,989
42,38,1072,989
41,36,1072,989
39,35,1072,989
37,34,1072,989
36,34,1072,989
35,33,1072,989
35,32,1072,989
34,31,1072,989
34,31,1072,989
