delx,dely,alpha,eta,lt,theta,k,kde.bw,kde.lags,kde.win,time
600,600,0,1,1,0,5,125,2,2,56.872000000003
600,600,0,1,1,0,5,125,2,2,34.9780000000028
600,600,0,1,1,0,5,125,2,2,35.3809999999939
250,250,1,2,0.29495633,200,494,1,3,68.9610000000102
600,600,1,1,0,5,125,2,2,39.3110000000452
600,600,1,1,0,5,125,2,2,237.163
600,600,1,1,0,5,125,2,2,37.265000000014
