delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
425,425,0.75,1.25,0.785,125,1e-06,1e-04,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-04,1e-04,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,0.001,1e-04,0.5,375,all,3,16,0.0232558139534884,8.00751037199359
425,425,0.75,1.25,0.785,125,0.005,1e-04,0.5,375,all,3,16,0.0232558139534884,8.00751037199359
425,425,0.75,1.25,0.785,125,1e-05,1e-06,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,5e-06,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,1e-05,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,5e-05,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,5e-04,0.5,375,all,3,16,0.0465116279069768,16.0150207439872
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.25,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.33,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.5,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.66,375,all,3,16,0,0
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.75,375,all,3,16,0.0232558139534884,8.00751037199359
425,425,0.75,1.25,0.785,125,1e-05,1e-04,1,375,all,3,16,0.0232558139534884,8.00751037199359
600,600,0.5,0.5,0,50,1e-06,1e-04,0.5,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,1e-04,1e-04,0.5,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,0.001,1e-04,0.5,250,all,6,30,0,0
600,600,0.5,0.5,0,50,0.005,1e-04,0.5,250,all,6,30,0,0
600,600,0.5,0.5,0,50,1e-05,1e-06,0.5,250,all,6,30,0,0
600,600,0.5,0.5,0,50,1e-05,5e-06,0.5,250,all,6,30,0,0
600,600,0.5,0.5,0,50,1e-05,1e-05,0.5,250,all,6,30,0,0
600,600,0.5,0.5,0,50,1e-05,5e-05,0.5,250,all,6,30,0.0869565217391304,15.6688627435312
600,600,0.5,0.5,0,50,1e-05,5e-04,0.5,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,1e-05,1e-04,0.25,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,1e-05,1e-04,0.33,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,1e-05,1e-04,0.5,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,1e-05,1e-04,0.66,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,1e-05,1e-04,0.75,250,all,6,30,0.0434782608695652,7.8344313717656
600,600,0.5,0.5,0,50,1e-05,1e-04,1,250,all,6,30,0.0434782608695652,7.8344313717656
250,250,0.5,0.5,0,50,1e-06,1e-04,0.5,250,all,1,3,0.0136986301369863,8.05827226810176
250,250,0.5,0.5,0,50,1e-04,1e-04,0.5,250,all,1,3,0.0136986301369863,8.05827226810176
250,250,0.5,0.5,0,50,0.001,1e-04,0.5,250,all,1,3,0.0273972602739726,16.1165445362035
250,250,0.5,0.5,0,50,0.005,1e-04,0.5,250,all,1,3,0.0273972602739726,16.1165445362035
250,250,0.5,0.5,0,50,1e-05,1e-06,0.5,250,all,1,3,0.0273972602739726,16.1165445362035
250,250,0.5,0.5,0,50,1e-05,5e-06,0.5,250,all,1,3,0.0273972602739726,16.1165445362035
250,250,0.5,0.5,0,50,1e-05,1e-05,0.5,250,all,1,3,0.0273972602739726,16.1165445362035
250,250,0.5,0.5,0,50,1e-05,5e-05,0.5,250,all,1,3,0.0136986301369863,8.05827226810176
250,250,0.5,0.5,0,50,1e-05,5e-04,0.5,250,all,1,3,0.0136986301369863,8.05827226810176
