delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
250,250,1,0.5,0,50,1e-05,5e-05,0.5,250,all,1,30,0.0344827586206897,17.6918458818475
250,250,1,0.5,0,50,1e-05,5e-04,0.5,250,all,1,30,0.0689655172413793,35.383691763695
250,250,1,0.5,0,50,1e-05,1e-04,0.25,250,all,1,30,0.0517241379310345,26.5377688227712
250,250,1,0.5,0,50,1e-05,1e-04,0.33,250,all,1,30,0.0517241379310345,26.5377688227712
250,250,1,0.5,0,50,1e-05,1e-04,0.5,250,all,1,30,0.0344827586206897,17.6918458818475
250,250,1,0.5,0,50,1e-05,1e-04,0.66,250,all,1,30,0.0517241379310345,26.5377688227712
250,250,1,0.5,0,50,1e-05,1e-04,0.75,250,all,1,30,0.0603448275862069,30.9607302932331
250,250,1,0.5,0,50,1e-05,1e-04,1,250,all,1,30,0.0517241379310345,26.5377688227712
250.001112794,250,1,0.5,0.00790499224462,147,1e-06,1e-04,0.5,500,all,1,25,0.0517241379310345,26.5376506990173
250.001112794,250,1,0.5,0.00790499224462,147,1e-04,1e-04,0.5,500,all,1,25,0.00862068965517241,4.42294178316955
250.001112794,250,1,0.5,0.00790499224462,147,0.001,1e-04,0.5,500,all,1,25,0.0258620689655172,13.2688253495087
250.001112794,250,1,0.5,0.00790499224462,147,0.005,1e-04,0.5,500,all,1,25,0.0258620689655172,13.2688253495087
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-06,0.5,500,all,1,25,0.0431034482758621,22.1147089158478
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,5e-06,0.5,500,all,1,25,0.0344827586206897,17.6917671326782
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-05,0.5,500,all,1,25,0.0431034482758621,22.1147089158478
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,5e-05,0.5,500,all,1,25,0.0258620689655172,13.2688253495087
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,5e-04,0.5,500,all,1,25,0.0431034482758621,22.1147089158478
250.001112794,250,1,0.5,0.00790499224462,147,1e-05,1e-04,0.25,500,all,1,25,0.0603448275862069,30.9605924821869
