train_set,delx,dely,alpha,eta,lt,theta,k,l1,l2,kde.bw,kde.lags,kde.win,pei,pai
train_13,125,125,0,0.5,7,0,50,0,0,250,3,10,0.0793991416309013,46.8113423849603
train_13,125,125,0,0.5,7,0,50,0,1e-05,250,3,10,0.036480686695279,21.5079140687655
train_13,125,125,0,0.5,7,0,50,0,5e-05,250,3,10,0.00643776824034335,3.79551424742921
train_13,125,125,0,0.5,7,0,50,0,1e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,0,5e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,0,0.001,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,1e-05,0,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,1e-05,1e-05,250,3,10,0.0257510729613734,15.1820569897169
train_13,125,125,0,0.5,7,0,50,1e-05,5e-05,250,3,10,0.00643776824034335,3.79551424742921
train_13,125,125,0,0.5,7,0,50,1e-05,1e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,1e-05,5e-04,250,3,10,0.0128755364806867,7.59102849485843
train_13,125,125,0,0.5,7,0,50,1e-05,0.001,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,5e-05,0,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,5e-05,1e-05,250,3,10,0.00643776824034335,3.79551424742921
train_13,125,125,0,0.5,7,0,50,5e-05,5e-05,250,3,10,0.00643776824034335,3.79551424742921
train_13,125,125,0,0.5,7,0,50,5e-05,1e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,5e-05,5e-04,250,3,10,0.0128755364806867,7.59102849485843
train_13,125,125,0,0.5,7,0,50,5e-05,0.001,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,1e-04,0,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,1e-04,1e-05,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,1e-04,5e-05,250,3,10,0.00643776824034335,3.79551424742921
train_13,125,125,0,0.5,7,0,50,1e-04,1e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,1e-04,5e-04,250,3,10,0.0128755364806867,7.59102849485843
train_13,125,125,0,0.5,7,0,50,1e-04,0.001,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,5e-04,0,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,5e-04,1e-05,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,5e-04,5e-05,250,3,10,0.00643776824034335,3.79551424742921
train_13,125,125,0,0.5,7,0,50,5e-04,1e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,5e-04,5e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,5e-04,0.001,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,0.001,0,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,0.001,1e-05,250,3,10,0.0171673819742489,10.1213713264779
train_13,125,125,0,0.5,7,0,50,0.001,5e-05,250,3,10,0.00643776824034335,3.79551424742921
train_13,125,125,0,0.5,7,0,50,0.001,1e-04,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0,0.5,7,0,50,0.001,5e-04,250,3,10,0.0128755364806867,7.59102849485843
train_13,125,125,0,0.5,7,0,50,0.001,0.001,250,3,10,0.0150214592274678,8.85619991066816
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,0,250,3,10,0.0901287553648069,48.1791646255822
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,1e-05,250,3,10,0.0386266094420601,20.6482134109638
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,5e-05,250,3,10,0.00643776824034335,3.4413689018273
train_13,125,125,0.0526315789473684,0.5,7,0,50,0,1e-04,250,3,10,0.0150214592274678,8.02986077093036
