delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
600,600,1,1,0,5,1e-06,1e-04,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-04,1e-04,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,0.001,1e-04,0.5,150,all,2,3,0,0
600,600,1,1,0,5,0.005,1e-04,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,1e-06,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,5e-06,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,1e-05,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,1e-05,5e-05,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,1e-05,5e-04,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,1e-05,1e-04,0.25,150,all,2,3,0.0357142857142857,2.93288969301994
600,600,1,1,0,5,1e-05,1e-04,0.33,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,1e-04,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,1e-04,0.66,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,1e-05,1e-04,0.75,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,1e-05,1e-04,1,150,all,2,3,0.0357142857142857,2.93288969301994
600,600,1,1,0,5,1e-06,1e-04,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-04,1e-04,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,0.001,1e-04,0.5,150,all,2,3,0,0
600,600,1,1,0,5,0.005,1e-04,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,1e-06,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,5e-06,0.5,150,all,2,3,0,0
600,600,1,1,0,5,1e-05,1e-05,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,1e-05,5e-05,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
600,600,1,1,0,5,1e-05,5e-04,0.5,150,all,2,3,0.0714285714285714,5.86577938603989
