delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
250,250,0.5,0.5,0,50,1e-06,1e-04,0.5,250,all,1,3,0.048,10.2009342584641
250,250,0.5,0.5,0,50,1e-04,1e-04,0.5,250,all,1,3,0.048,10.2009342584641
250,250,0.5,0.5,0,50,0.001,1e-04,0.5,250,all,1,3,0.056,11.9010899682081
250,250,0.5,0.5,0,50,0.005,1e-04,0.5,250,all,1,3,0.056,11.9010899682081
250,250,0.5,0.5,0,50,1e-05,1e-06,0.5,250,all,1,3,0.032,6.80062283897605
250,250,0.5,0.5,0,50,1e-05,5e-06,0.5,250,all,1,3,0.032,6.80062283897605
250,250,0.5,0.5,0,50,1e-05,1e-05,0.5,250,all,1,3,0.048,10.2009342584641
250,250,0.5,0.5,0,50,1e-05,5e-05,0.5,250,all,1,3,0.064,13.6012456779521
250,250,0.5,0.5,0,50,1e-05,5e-04,0.5,250,all,1,3,0.04,8.50077854872007
250,250,0.5,0.5,0,50,1e-05,1e-04,0.25,250,all,1,3,0.072,15.3014013876961
250,250,0.5,0.5,0,50,1e-05,1e-04,0.33,250,all,1,3,0.064,13.6012456779521
250,250,0.5,0.5,0,50,1e-05,1e-04,0.5,250,all,1,3,0.056,11.9010899682081
250,250,0.5,0.5,0,50,1e-05,1e-04,0.66,250,all,1,3,0.056,11.9010899682081
250,250,0.5,0.5,0,50,1e-05,1e-04,0.75,250,all,1,3,0.048,10.2009342584641
250,250,0.5,0.5,0,50,1e-05,1e-04,1,250,all,1,3,0.056,11.9010899682081
425,425,0.75,1.25,0.785,125,1e-06,1e-04,0.5,375,all,3,16,0.0689655172413793,6.75778331971713
425,425,0.75,1.25,0.785,125,1e-04,1e-04,0.5,375,all,3,16,0.0517241379310345,5.06833748978785
425,425,0.75,1.25,0.785,125,0.001,1e-04,0.5,375,all,3,16,0.0344827586206897,3.37889165985857
425,425,0.75,1.25,0.785,125,0.005,1e-04,0.5,375,all,3,16,0.0344827586206897,3.37889165985857
425,425,0.75,1.25,0.785,125,1e-05,1e-06,0.5,375,all,3,16,0.0344827586206897,3.37889165985857
425,425,0.75,1.25,0.785,125,1e-05,5e-06,0.5,375,all,3,16,0.0517241379310345,5.06833748978785
425,425,0.75,1.25,0.785,125,1e-05,1e-05,0.5,375,all,3,16,0.0689655172413793,6.75778331971713
425,425,0.75,1.25,0.785,125,1e-05,5e-05,0.5,375,all,3,16,0.0689655172413793,6.75778331971713
425,425,0.75,1.25,0.785,125,1e-05,5e-04,0.5,375,all,3,16,0.0689655172413793,6.75778331971713
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.25,375,all,3,16,0.120689655172414,11.826120809505
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.33,375,all,3,16,0.103448275862069,10.1366749795757
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.5,375,all,3,16,0.0689655172413793,6.75778331971713
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.66,375,all,3,16,0.0862068965517242,8.44722914964641
425,425,0.75,1.25,0.785,125,1e-05,1e-04,0.75,375,all,3,16,0.0517241379310345,5.06833748978785
425,425,0.75,1.25,0.785,125,1e-05,1e-04,1,375,all,3,16,0.0172413793103448,1.68944582992928
600,250,1,0.5,1.57,50,1e-06,1e-04,0.5,250,all,6,3,0.106060606060606,11.8166850748165
600,250,1,0.5,1.57,50,1e-04,1e-04,0.5,250,all,6,3,0.106060606060606,11.8166850748165
600,250,1,0.5,1.57,50,0.001,1e-04,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,0.5,1.57,50,0.005,1e-04,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,0.5,1.57,50,1e-05,1e-06,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,0.5,1.57,50,1e-05,5e-06,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,0.5,1.57,50,1e-05,1e-05,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,0.5,1.57,50,1e-05,5e-05,0.5,250,all,6,3,0.121212121212121,13.5047829426475
600,250,1,0.5,1.57,50,1e-05,5e-04,0.5,250,all,6,3,0.0606060606060606,6.75239147132374
600,250,1,0.5,1.57,50,1e-05,1e-04,0.25,250,all,6,3,0.0303030303030303,3.37619573566187
600,250,1,0.5,1.57,50,1e-05,1e-04,0.33,250,all,6,3,0.0606060606060606,6.75239147132374
600,250,1,0.5,1.57,50,1e-05,1e-04,0.5,250,all,6,3,0.106060606060606,11.8166850748165
600,250,1,0.5,1.57,50,1e-05,1e-04,0.66,250,all,6,3,0.181818181818182,20.2571744139712
600,250,1,0.5,1.57,50,1e-05,1e-04,0.75,250,all,6,3,0.181818181818182,20.2571744139712
600,250,1,0.5,1.57,50,1e-05,1e-04,1,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,2,1.57,50,1e-06,1e-04,0.5,250,all,6,30,0.0303030303030303,3.37619573566187
600,250,1,2,1.57,50,1e-04,1e-04,0.5,250,all,6,30,0.0909090909090909,10.1285872069856
600,250,1,2,1.57,50,0.001,1e-04,0.5,250,all,6,30,0.0454545454545455,5.0642936034928
600,250,1,2,1.57,50,0.005,1e-04,0.5,250,all,6,30,0.0454545454545455,5.0642936034928
600,250,1,2,1.57,50,1e-05,1e-06,0.5,250,all,6,30,0.0909090909090909,10.1285872069856
600,250,1,2,1.57,50,1e-05,5e-06,0.5,250,all,6,30,0.0757575757575758,8.44048933915468
600,250,1,2,1.57,50,1e-05,1e-05,0.5,250,all,6,30,0.0606060606060606,6.75239147132374
600,250,1,2,1.57,50,1e-05,5e-05,0.5,250,all,6,30,0.0606060606060606,6.75239147132374
600,250,1,2,1.57,50,1e-05,5e-04,0.5,250,all,6,30,0.0303030303030303,3.37619573566187
600,250,1,2,1.57,50,1e-05,1e-04,0.25,250,all,6,30,0.0303030303030303,3.37619573566187
600,250,1,2,1.57,50,1e-05,1e-04,0.33,250,all,6,30,0.0303030303030303,3.37619573566187
600,250,1,2,1.57,50,1e-05,1e-04,0.5,250,all,6,30,0.0454545454545455,5.0642936034928
600,250,1,2,1.57,50,1e-05,1e-04,0.66,250,all,6,30,0.0454545454545455,5.0642936034928
600,250,1,2,1.57,50,1e-05,1e-04,0.75,250,all,6,30,0.0454545454545455,5.0642936034928
600,250,1,2,1.57,50,1e-05,1e-04,1,250,all,6,30,0.0606060606060606,6.75239147132374
600,600,1,0.5,1.57,200,1e-06,1e-04,0.5,250,all,6,3,0.024390243902439,1.65292916225112
600,600,1,0.5,1.57,200,1e-04,1e-04,0.5,250,all,6,3,0.0975609756097561,6.6117166490045
600,600,1,0.5,1.57,200,0.001,1e-04,0.5,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,0.005,1e-04,0.5,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,1e-05,1e-06,0.5,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,1e-05,5e-06,0.5,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,1e-05,1e-05,0.5,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,1e-05,5e-05,0.5,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,1e-05,5e-04,0.5,250,all,6,3,0.0731707317073171,4.95878748675337
600,600,1,0.5,1.57,200,1e-05,1e-04,0.25,250,all,6,3,0.0731707317073171,4.95878748675337
600,600,1,0.5,1.57,200,1e-05,1e-04,0.33,250,all,6,3,0.0731707317073171,4.95878748675337
600,600,1,0.5,1.57,200,1e-05,1e-04,0.5,250,all,6,3,0,0
600,600,1,0.5,1.57,200,1e-05,1e-04,0.66,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,1e-05,1e-04,0.75,250,all,6,3,0.0487804878048781,3.30585832450225
600,600,1,0.5,1.57,200,1e-05,1e-04,1,250,all,6,3,0.0487804878048781,3.30585832450225
262.684887159,304.89260397,1,0.5,1.57,50,1e-06,1e-04,0.5,500,all,6,3,0.0192307692307692,3.37716348427037
262.684887159,304.89260397,1,0.5,1.57,50,1e-04,1e-04,0.5,500,all,6,3,0.0384615384615385,6.75432696854075
262.684887159,304.89260397,1,0.5,1.57,50,0.001,1e-04,0.5,500,all,6,3,0.0576923076923077,10.1314904528111
262.684887159,304.89260397,1,0.5,1.57,50,0.005,1e-04,0.5,500,all,6,3,0.0576923076923077,10.1314904528111
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-06,0.5,500,all,6,3,0.0288461538461538,5.06574522640556
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,5e-06,0.5,500,all,6,3,0.0288461538461538,5.06574522640556
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-05,0.5,500,all,6,3,0.0192307692307692,3.37716348427037
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,5e-05,0.5,500,all,6,3,0.0192307692307692,3.37716348427037
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,5e-04,0.5,500,all,6,3,0.0480769230769231,8.44290871067593
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-04,0.25,500,all,6,3,0.00961538461538462,1.68858174213519
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-04,0.33,500,all,6,3,0.00961538461538462,1.68858174213519
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-04,0.5,500,all,6,3,0.0192307692307692,3.37716348427037
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-04,0.66,500,all,6,3,0.00961538461538462,1.68858174213519
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-04,0.75,500,all,6,3,0.0480769230769231,8.44290871067593
262.684887159,304.89260397,1,0.5,1.57,50,1e-05,1e-04,1,500,all,6,3,0.0576923076923077,10.1314904528111
600,250,1,1.90971594868,1.57,200,1e-06,1e-04,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,1e-04,1e-04,0.5,250,all,6,3,0.0303030303030303,3.37619573566187
600,250,1,1.90971594868,1.57,200,0.001,1e-04,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,0.005,1e-04,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,1e-05,1e-06,0.5,250,all,6,3,0.0151515151515152,1.68809786783093
600,250,1,1.90971594868,1.57,200,1e-05,5e-06,0.5,250,all,6,3,0.0151515151515152,1.68809786783093
600,250,1,1.90971594868,1.57,200,1e-05,1e-05,0.5,250,all,6,3,0.0151515151515152,1.68809786783093
600,250,1,1.90971594868,1.57,200,1e-05,5e-05,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,1e-05,5e-04,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,1e-05,1e-04,0.25,250,all,6,3,0.0303030303030303,3.37619573566187
600,250,1,1.90971594868,1.57,200,1e-05,1e-04,0.33,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,1e-05,1e-04,0.5,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,1e-05,1e-04,0.66,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,1.90971594868,1.57,200,1e-05,1e-04,0.75,250,all,6,3,0.0606060606060606,6.75239147132374
600,250,1,1.90971594868,1.57,200,1e-05,1e-04,1,250,all,6,3,0.0454545454545455,5.0642936034928
600,250,1,0.5,1.11227514663,50,1e-06,1e-04,0.5,348,all,6,30,0.0769230769230769,8.44048933915468
600,250,1,0.5,1.11227514663,50,1e-04,1e-04,0.5,348,all,6,30,0.0461538461538462,5.0642936034928
600,250,1,0.5,1.11227514663,50,0.001,1e-04,0.5,348,all,6,30,0.0153846153846154,1.68809786783093
600,250,1,0.5,1.11227514663,50,0.005,1e-04,0.5,348,all,6,30,0.0153846153846154,1.68809786783093
600,250,1,0.5,1.11227514663,50,1e-05,1e-06,0.5,348,all,6,30,0.0307692307692308,3.37619573566187
600,250,1,0.5,1.11227514663,50,1e-05,5e-06,0.5,348,all,6,30,0.0153846153846154,1.68809786783093
600,250,1,0.5,1.11227514663,50,1e-05,1e-05,0.5,348,all,6,30,0.0153846153846154,1.68809786783093
600,250,1,0.5,1.11227514663,50,1e-05,5e-05,0.5,348,all,6,30,0.0307692307692308,3.37619573566187
600,250,1,0.5,1.11227514663,50,1e-05,5e-04,0.5,348,all,6,30,0.0461538461538462,5.0642936034928
600,250,1,0.5,1.11227514663,50,1e-05,1e-04,0.25,348,all,6,30,0.0769230769230769,8.44048933915468
600,250,1,0.5,1.11227514663,50,1e-05,1e-04,0.33,348,all,6,30,0.0769230769230769,8.44048933915468
600,250,1,0.5,1.11227514663,50,1e-05,1e-04,0.5,348,all,6,30,0.0769230769230769,8.44048933915468
600,250,1,0.5,1.11227514663,50,1e-05,1e-04,0.66,348,all,6,30,0.0769230769230769,8.44048933915468
600,250,1,0.5,1.11227514663,50,1e-05,1e-04,0.75,348,all,6,30,0.0307692307692308,3.37619573566187
600,250,1,0.5,1.11227514663,50,1e-05,1e-04,1,348,all,6,30,0,0
600,600,1,2,0.568868661462,50,1e-06,1e-04,0.5,250,all,6,3,0.0952380952380952,6.6117166490045
600,600,1,2,0.568868661462,50,1e-04,1e-04,0.5,250,all,6,3,0,0
600,600,1,2,0.568868661462,50,0.001,1e-04,0.5,250,all,6,3,0.0476190476190476,3.30585832450225
600,600,1,2,0.568868661462,50,0.005,1e-04,0.5,250,all,6,3,0.0476190476190476,3.30585832450225
600,600,1,2,0.568868661462,50,1e-05,1e-06,0.5,250,all,6,3,0.0476190476190476,3.30585832450225
600,600,1,2,0.568868661462,50,1e-05,5e-06,0.5,250,all,6,3,0.0476190476190476,3.30585832450225
600,600,1,2,0.568868661462,50,1e-05,1e-05,0.5,250,all,6,3,0.0476190476190476,3.30585832450225
600,600,1,2,0.568868661462,50,1e-05,5e-05,0.5,250,all,6,3,0.0952380952380952,6.6117166490045
600,600,1,2,0.568868661462,50,1e-05,5e-04,0.5,250,all,6,3,0.0238095238095238,1.65292916225112
600,600,1,2,0.568868661462,50,1e-05,1e-04,0.25,250,all,6,3,0.0714285714285714,4.95878748675337
600,600,1,2,0.568868661462,50,1e-05,1e-04,0.33,250,all,6,3,0.0714285714285714,4.95878748675337
600,600,1,2,0.568868661462,50,1e-05,1e-04,0.5,250,all,6,3,0.0714285714285714,4.95878748675337
