delx,dely,eta,lt,theta,k,l1,l2,p,kde.bw,kde.n,kde.lags,kde.win,pei,pai
250,250,0.5,0.5,0,50,1e-06,1e-04,0.5,250,all,1,3,0.0451127819548872,6.74861042720568
250,250,0.5,0.5,0,50,1e-04,1e-04,0.5,250,all,1,3,0.0676691729323308,10.1229156408085
250,250,0.5,0.5,0,50,0.001,1e-04,0.5,250,all,1,3,0.0601503759398496,8.99814723627424
250,250,0.5,0.5,0,50,0.005,1e-04,0.5,250,all,1,3,0.0601503759398496,8.99814723627424
250,250,0.5,0.5,0,50,1e-05,1e-06,0.5,250,all,1,3,0.0676691729323308,10.1229156408085
250,250,0.5,0.5,0,50,1e-05,5e-06,0.5,250,all,1,3,0.075187969924812,11.2476840453428
250,250,0.5,0.5,0,50,1e-05,1e-05,0.5,250,all,1,3,0.075187969924812,11.2476840453428
250,250,0.5,0.5,0,50,1e-05,5e-05,0.5,250,all,1,3,0.0601503759398496,8.99814723627424
250,250,0.5,0.5,0,50,1e-05,5e-04,0.5,250,all,1,3,0.105263157894737,15.7467576634799
250,250,0.5,0.5,0,50,1e-05,1e-04,0.25,250,all,1,3,0.075187969924812,11.2476840453428
250,250,0.5,0.5,0,50,1e-05,1e-04,0.33,250,all,1,3,0.075187969924812,11.2476840453428
250,250,0.5,0.5,0,50,1e-05,1e-04,0.5,250,all,1,3,0.0451127819548872,6.74861042720568
250,250,0.5,0.5,0,50,1e-05,1e-04,0.66,250,all,1,3,0.0451127819548872,6.74861042720568
250,250,0.5,0.5,0,50,1e-05,1e-04,0.75,250,all,1,3,0.0601503759398496,8.99814723627424
250,250,0.5,0.5,0,50,1e-05,1e-04,1,250,all,1,3,0.075187969924812,11.2476840453428
425,425,0.75,1.25,0.785,125,1e-06,1e-04,0.5,375,all,3,16,0.0704225352112676,5.58841546037793
425,425,0.75,1.25,0.785,125,1e-04,1e-04,0.5,375,all,3,16,0.0704225352112676,5.58841546037793
