delx,dely,alpha,kde.bw,kde.lags,horizon,crime.type, pei,pai
250,600,0,500,1,1m,burglary,0.041,16.453
250,600,0,500,1,1m,vehicle,0.111,17.264
250,600,0,500,1,2m,all,0.733,33.029
250,600,0,500,1,2m,street,0.688,48.173
250,600,0,500,1,2m,burglary,0.038,8.653
250,600,0,500,1,2m,vehicle,0.104,11.749
250,600,0,500,1,3m,all,0.751,33.112
250,600,0,500,1,3m,street,0.711,48.251
250,600,0,500,1,3m,burglary,0.038,6.637
250,600,0,500,1,3m,vehicle,0.156,15.27
250,600,0,800,1,1w,all,0.555,29.846
250,600,0,800,1,1w,street,0.426,49.299
250,600,0,800,1,1w,burglary,0.091,53.098
250,600,0,800,1,1w,vehicle,0.064,37.282
250,600,0,800,1,2w,all,0.599,29.565
250,600,0,800,1,2w,street,0.512,46.989
250,600,0,800,1,2w,burglary,0.071,41.72
250,600,0,800,1,2w,vehicle,0.082,25.395
250,600,0,800,1,1m,all,0.644,29.82
250,600,0,800,1,1m,street,0.62,46.33
250,600,0,800,1,1m,burglary,0.041,16.453
250,600,0,800,1,1m,vehicle,0.093,14.386
250,600,0,800,1,2m,all,0.668,30.113
250,600,0,800,1,2m,street,0.683,47.851
250,600,0,800,1,2m,burglary,0.038,8.653
250,600,0,800,1,2m,vehicle,0.09,10.07
250,600,0,800,1,3m,all,0.687,30.288
250,600,0,800,1,3m,street,0.701,47.548
250,600,0,800,1,3m,burglary,0.058,9.956
250,600,0,800,1,3m,vehicle,0.13,12.725
250,600,0,1000,1,1w,all,0.549,29.537
250,600,0,1000,1,1w,street,0.426,49.299
250,600,0,1000,1,1w,burglary,0.091,53.098
250,600,0,1000,1,1w,vehicle,0.021,12.427
250,600,0,1000,1,2w,all,0.594,29.327
250,600,0,1000,1,2w,street,0.524,48.082
250,600,0,1000,1,2w,burglary,0.036,20.86
250,600,0,1000,1,2w,vehicle,0.061,19.046
250,600,0,1000,1,1m,all,0.636,29.438
250,600,0,1000,1,1m,street,0.62,46.33
250,600,0,1000,1,1m,burglary,0.02,8.227
250,600,0,1000,1,1m,vehicle,0.074,11.509
250,600,0,1000,1,2m,all,0.656,29.567
250,600,0,1000,1,2m,street,0.697,48.817
250,600,0,1000,1,2m,burglary,0.019,4.327
250,600,0,1000,1,2m,vehicle,0.104,11.749
250,600,0,1000,1,3m,all,0.675,29.773
250,600,0,1000,1,3m,street,0.704,47.782
250,600,0,1000,1,3m,burglary,0.038,6.637
250,600,0,1000,1,3m,vehicle,0.13,12.725
425,250,0,500,1,1w,all,0.584,37.934
425,250,0,500,1,1w,street,0.385,53.872
425,250,0,500,1,1w,burglary,0.273,160.147
425,250,0,500,1,1w,vehicle,0.064,37.481
425,250,0,500,1,2w,all,0.632,36.576
425,250,0,500,1,2w,street,0.484,49.987
425,250,0,500,1,2w,burglary,0.107,62.915
425,250,0,500,1,2w,vehicle,0.074,31.913
425,250,0,500,1,1m,all,0.643,35.87
425,250,0,500,1,1m,street,0.589,51.212
425,250,0,500,1,1m,burglary,0.044,24.811
425,250,0,500,1,1m,vehicle,0.097,20.248
425,250,0,500,1,2m,all,0.661,35.657
425,250,0,500,1,2m,street,0.65,51.235
425,250,0,500,1,2m,burglary,0.043,13.049
425,250,0,500,1,2m,vehicle,0.108,15.186
425,250,0,500,1,3m,all,0.677,35.75
425,250,0,500,1,3m,street,0.671,50.706
425,250,0,500,1,3m,burglary,0.042,10.009
425,250,0,500,1,3m,vehicle,0.143,16.631
425,250,0,800,1,1w,all,0.5,32.493
425,250,0,800,1,1w,street,0.331,46.33
425,250,0,800,1,1w,burglary,0.273,160.147
425,250,0,800,1,1w,vehicle,0.064,37.481
425,250,0,800,1,2w,all,0.551,31.874
425,250,0,800,1,2w,street,0.436,45.043
425,250,0,800,1,2w,burglary,0.107,62.915
425,250,0,800,1,2w,vehicle,0.074,31.913
425,250,0,800,1,1m,all,0.565,31.513
425,250,0,800,1,1m,street,0.52,45.187
425,250,0,800,1,1m,burglary,0.044,24.811
425,250,0,800,1,1m,vehicle,0.083,17.356
425,250,0,800,1,2m,all,0.594,32.023
425,250,0,800,1,2m,street,0.592,46.705
425,250,0,800,1,2m,burglary,0.043,13.049
425,250,0,800,1,2m,vehicle,0.072,10.124
425,250,0,800,1,3m,all,0.614,32.431
425,250,0,800,1,3m,street,0.61,46.075
425,250,0,800,1,3m,burglary,0.056,13.346
425,250,0,800,1,3m,vehicle,0.11,12.793
425,250,0,1000,1,1w,all,0.5,32.493
