delx,dely,alpha,kde.bw,kde.lags,horizon,crime.type, pei,pai
250,425,0,250,1,2w,vehicle,0.542,46.885
250,425,0,250,1,1m,all,0.844,42.006
250,425,0,250,1,1m,street,0.802,58.254
250,425,0,250,1,1m,burglary,0.602,61.756
250,425,0,250,1,1m,vehicle,0.538,44.009
250,425,0,250,1,2m,all,0.843,41.978
250,425,0,250,1,2m,street,0.806,58.263
250,425,0,250,1,2m,burglary,0.562,55.432
250,425,0,250,1,2m,vehicle,0.534,41.401
250,425,0,250,1,3m,all,0.845,41.847
250,425,0,250,1,3m,street,0.803,57.617
250,425,0,250,1,3m,burglary,0.562,52.02
250,425,0,250,1,3m,vehicle,0.533,39.69
250,600,0,250,1,1w,all,0.847,37.323
250,600,0,250,1,1w,street,0.843,54.428
250,600,0,250,1,1w,burglary,0.582,53.628
250,600,0,250,1,1w,vehicle,0.517,36.593
250,600,0,250,1,2w,all,0.846,37.233
250,600,0,250,1,2w,street,0.839,53.972
250,600,0,250,1,2w,burglary,0.58,52.996
250,600,0,250,1,2w,vehicle,0.506,35.317
250,600,0,250,1,1m,all,0.843,37.043
250,600,0,250,1,1m,street,0.848,53.829
250,600,0,250,1,1m,burglary,0.547,48.934
250,600,0,250,1,1m,vehicle,0.5,33.352
250,600,0,250,1,2m,all,0.842,36.869
250,600,0,250,1,2m,street,0.845,53.88
250,600,0,250,1,2m,burglary,0.505,43.923
250,600,0,250,1,2m,vehicle,0.483,31.358
250,600,0,250,1,3m,all,0.843,36.75
250,600,0,250,1,3m,street,0.837,53.217
250,600,0,250,1,3m,burglary,0.505,41.219
250,600,0,250,1,3m,vehicle,0.472,29.962
425,250,0,250,1,1w,all,0.844,43.77
425,250,0,250,1,1w,street,0.795,57.601
425,250,0,250,1,1w,burglary,0.656,71.496
425,250,0,250,1,1w,vehicle,0.511,44.807
425,250,0,250,1,2w,all,0.842,43.624
425,250,0,250,1,2w,street,0.792,57.229
425,250,0,250,1,2w,burglary,0.642,69.15
425,250,0,250,1,2w,vehicle,0.505,43.244
425,250,0,250,1,1m,all,0.842,43.605
425,250,0,250,1,1m,street,0.788,56.514
425,250,0,250,1,1m,burglary,0.616,63.849
425,250,0,250,1,1m,vehicle,0.503,40.237
425,250,0,250,1,2m,all,0.841,43.619
425,250,0,250,1,2m,street,0.784,55.975
425,250,0,250,1,2m,burglary,0.575,57.311
425,250,0,250,1,2m,vehicle,0.483,36.843
425,250,0,250,1,3m,all,0.842,43.51
425,250,0,250,1,3m,street,0.78,55.173
425,250,0,250,1,3m,burglary,0.57,53.783
425,250,0,250,1,3m,vehicle,0.471,34.375
425,425,0,250,1,1w,all,0.907,37.538
425,425,0,250,1,1w,street,0.854,51.86
425,425,0,250,1,1w,burglary,0.623,50.171
425,425,0,250,1,1w,vehicle,0.518,34.275
425,425,0,250,1,2w,all,0.906,37.458
425,425,0,250,1,2w,street,0.851,51.665
425,425,0,250,1,2w,burglary,0.606,48.524
425,425,0,250,1,2w,vehicle,0.517,33.532
425,425,0,250,1,1m,all,0.907,37.442
425,425,0,250,1,1m,street,0.854,51.616
425,425,0,250,1,1m,burglary,0.573,44.805
425,425,0,250,1,1m,vehicle,0.517,31.71
425,425,0,250,1,2m,all,0.901,37.168
425,425,0,250,1,2m,street,0.852,51.336
425,425,0,250,1,2m,burglary,0.518,40.217
425,425,0,250,1,2m,vehicle,0.481,28.736
425,425,0,250,1,3m,all,0.903,37.046
425,425,0,250,1,3m,street,0.85,50.853
425,425,0,250,1,3m,burglary,0.512,37.741
425,425,0,250,1,3m,vehicle,0.476,27.516
425,600,0,250,1,1w,all,0.898,33.319
425,600,0,250,1,1w,street,0.819,47.501
425,600,0,250,1,1w,burglary,0.532,37.988
425,600,0,250,1,1w,vehicle,0.439,25.014
425,600,0,250,1,2w,all,0.898,33.305
425,600,0,250,1,2w,street,0.817,47.249
425,600,0,250,1,2w,burglary,0.532,36.741
425,600,0,250,1,2w,vehicle,0.435,24.142
425,600,0,250,1,1m,all,0.895,33.171
425,600,0,250,1,1m,street,0.82,46.7
425,600,0,250,1,1m,burglary,0.531,34.953
425,600,0,250,1,1m,vehicle,0.441,23.052
425,600,0,250,1,2m,all,0.897,33.118
425,600,0,250,1,2m,street,0.808,46.017
425,600,0,250,1,2m,burglary,0.5,31.374
425,600,0,250,1,2m,vehicle,0.412,20.89
425,600,0,250,1,3m,all,0.897,33.059
425,600,0,250,1,3m,street,0.8,45.447
425,600,0,250,1,3m,burglary,0.5,29.442
425,600,0,250,1,3m,vehicle,0.396,19.839
600,250,0,250,1,1w,all,0.866,38.041
600,250,0,250,1,1w,street,0.807,51.635
600,250,0,250,1,1w,burglary,0.558,50.131
600,250,0,250,1,1w,vehicle,0.543,38.47
600,250,0,250,1,2w,all,0.862,37.862
600,250,0,250,1,2w,street,0.804,51.481
600,250,0,250,1,2w,burglary,0.544,48.486
600,250,0,250,1,2w,vehicle,0.542,37.58
600,250,0,250,1,1m,all,0.861,37.846
600,250,0,250,1,1m,street,0.813,51.64
600,250,0,250,1,1m,burglary,0.518,44.769
600,250,0,250,1,1m,vehicle,0.532,35.02
600,250,0,250,1,2m,all,0.862,37.833
600,250,0,250,1,2m,street,0.812,51.801
600,250,0,250,1,2m,burglary,0.467,40.185
600,250,0,250,1,2m,vehicle,0.503,32.869
600,250,0,250,1,3m,all,0.862,37.712
600,250,0,250,1,3m,street,0.801,50.761
600,250,0,250,1,3m,burglary,0.457,37.711
600,250,0,250,1,3m,vehicle,0.478,30.667
600,425,0,250,1,1w,all,0.887,33.297
600,425,0,250,1,1w,street,0.816,47.573
600,425,0,250,1,1w,burglary,0.5,35.685
600,425,0,250,1,1w,vehicle,0.496,29.183
600,425,0,250,1,2w,all,0.883,33.139
600,425,0,250,1,2w,street,0.818,47.495
600,425,0,250,1,2w,burglary,0.516,35.627
600,425,0,250,1,2w,vehicle,0.5,28.612
600,425,0,250,1,1m,all,0.883,33.043
600,425,0,250,1,1m,street,0.827,47.635
600,425,0,250,1,1m,burglary,0.508,32.897
600,425,0,250,1,1m,vehicle,0.508,27.169
600,425,0,250,1,2m,all,0.89,33.093
600,425,0,250,1,2m,street,0.834,47.986
600,425,0,250,1,2m,burglary,0.478,29.528
600,425,0,250,1,2m,vehicle,0.478,24.621
600,425,0,250,1,3m,all,0.891,33.043
600,425,0,250,1,3m,street,0.825,47.191
600,425,0,250,1,3m,burglary,0.478,27.71
600,425,0,250,1,3m,vehicle,0.462,22.971
600,600,0,250,1,1w,all,0.812,27.862
600,600,0,250,1,1w,street,0.825,43.974
600,600,0,250,1,1w,burglary,0.5,28.539
600,600,0,250,1,1w,vehicle,0.52,24.347
600,600,0,250,1,2w,all,0.813,27.819
600,600,0,250,1,2w,street,0.83,44.068
600,600,0,250,1,2w,burglary,0.52,28.706
600,600,0,250,1,2w,vehicle,0.515,23.497
600,600,0,250,1,1m,all,0.817,27.781
600,600,0,250,1,1m,street,0.838,44.04
600,600,0,250,1,1m,burglary,0.5,26.506
600,600,0,250,1,1m,vehicle,0.509,22.452
600,600,0,250,1,2m,all,0.82,27.689
600,600,0,250,1,2m,street,0.845,44.698
600,600,0,250,1,2m,burglary,0.448,23.792
600,600,0,250,1,2m,vehicle,0.492,21.456
600,600,0,250,1,3m,all,0.815,27.492
600,600,0,250,1,3m,street,0.841,44.342
600,600,0,250,1,3m,burglary,0.448,22.327
600,600,0,250,1,3m,vehicle,0.468,20.019
100,625,0,250,1,1w,all,0.591,36.471
100,625,0,250,1,1w,street,0.64,56.593
100,625,0,250,1,1w,burglary,0.351,55.185
100,625,0,250,1,1w,vehicle,0.444,50.557
100,625,0,250,1,2w,all,0.588,36.309
100,625,0,250,1,2w,street,0.641,56.471
100,625,0,250,1,2w,burglary,0.356,54.51
100,625,0,250,1,2w,vehicle,0.433,48.793
100,625,0,250,1,1m,all,0.586,36.154
100,625,0,250,1,1m,street,0.635,55.759
100,625,0,250,1,1m,burglary,0.348,50.332
100,625,0,250,1,1m,vehicle,0.418,47.027
100,625,0,250,1,2m,all,0.584,35.927
100,625,0,250,1,2m,street,0.625,55
100,625,0,250,1,2m,burglary,0.329,45.178
100,625,0,250,1,2m,vehicle,0.394,43.758
100,625,0,250,1,3m,all,0.585,35.899
100,625,0,250,1,3m,street,0.618,54.035
100,625,0,250,1,3m,burglary,0.333,43.28
100,625,0,250,1,3m,vehicle,0.403,42.601
100,625,0,500,1,1w,all,0.556,34.347
100,625,0,500,1,1w,street,0.609,53.892
100,625,0,500,1,1w,burglary,0.336,52.837
100,625,0,500,1,1w,vehicle,0.245,27.877
100,625,0,500,1,2w,all,0.554,34.217
100,625,0,500,1,2w,street,0.609,53.64
100,625,0,500,1,2w,burglary,0.341,52.239
100,625,0,500,1,2w,vehicle,0.243,27.361
100,625,0,500,1,1m,all,0.552,34.02
100,625,0,500,1,1m,street,0.605,53.128
100,625,0,500,1,1m,burglary,0.333,48.235
100,625,0,500,1,1m,vehicle,0.228,25.613
100,625,0,500,1,2m,all,0.55,33.803
100,625,0,500,1,2m,street,0.6,52.822
100,625,0,500,1,2m,burglary,0.315,43.295
100,625,0,500,1,2m,vehicle,0.212,23.591
100,625,0,500,1,3m,all,0.55,33.768
100,625,0,500,1,3m,street,0.601,52.541
100,625,0,500,1,3m,burglary,0.32,41.513
100,625,0,500,1,3m,vehicle,0.221,23.431
100,625,0,800,1,1w,all,0.514,31.714
100,625,0,800,1,1w,street,0.589,52.078
100,625,0,800,1,1w,burglary,0.246,38.747
100,625,0,800,1,1w,vehicle,0.228,25.987
100,625,0,800,1,2w,all,0.513,31.656
100,625,0,800,1,2w,street,0.589,51.921
100,625,0,800,1,2w,burglary,0.252,38.611
100,625,0,800,1,2w,vehicle,0.227,25.537
100,625,0,800,1,1m,all,0.511,31.531
100,625,0,800,1,1m,street,0.586,51.45
100,625,0,800,1,1m,burglary,0.246,35.652
100,625,0,800,1,1m,vehicle,0.213,23.933
100,625,0,800,1,2m,all,0.511,31.452
100,625,0,800,1,2m,street,0.58,51.039
100,625,0,800,1,2m,burglary,0.233,32.001
100,625,0,800,1,2m,vehicle,0.199,22.069
100,625,0,800,1,3m,all,0.513,31.502
100,625,0,800,1,3m,street,0.578,50.608
100,625,0,800,1,3m,burglary,0.238,30.914
100,625,0,800,1,3m,vehicle,0.211,22.366
100,625,0,1000,1,1w,all,0.513,31.68
100,625,0,1000,1,1w,street,0.591,52.263
100,625,0,1000,1,1w,burglary,0.067,10.567
100,625,0,1000,1,1w,vehicle,0.191,21.735
100,625,0,1000,1,2w,all,0.512,31.623
100,625,0,1000,1,2w,street,0.591,52.1
100,625,0,1000,1,2w,burglary,0.067,10.221
100,625,0,1000,1,2w,vehicle,0.194,21.889
100,625,0,1000,1,1m,all,0.512,31.551
100,625,0,1000,1,1m,street,0.586,51.417
100,625,0,1000,1,1m,burglary,0.065,9.437
100,625,0,1000,1,1m,vehicle,0.183,20.574
100,625,0,1000,1,2m,all,0.513,31.57
100,625,0,1000,1,2m,street,0.585,51.464
100,625,0,1000,1,2m,burglary,0.062,8.471
100,625,0,1000,1,2m,vehicle,0.171,19.025
100,625,0,1000,1,3m,all,0.514,31.55
100,625,0,1000,1,3m,street,0.581,50.84
100,625,0,1000,1,3m,burglary,0.068,8.833
100,625,0,1000,1,3m,vehicle,0.188,19.881
625,100,0,250,1,1w,all,0.627,38.245
625,100,0,250,1,1w,street,0.579,51.745
625,100,0,250,1,1w,burglary,0.386,59.882
625,100,0,250,1,1w,vehicle,0.401,45.832
625,100,0,250,1,2w,all,0.625,38.138
625,100,0,250,1,2w,street,0.579,51.634
625,100,0,250,1,2w,burglary,0.391,59.053
625,100,0,250,1,2w,vehicle,0.394,44.689
625,100,0,250,1,1m,all,0.627,38.156
625,100,0,250,1,1m,street,0.578,51.22
625,100,0,250,1,1m,burglary,0.382,54.526
625,100,0,250,1,1m,vehicle,0.374,41.568
625,100,0,250,1,2m,all,0.63,38.299
625,100,0,250,1,2m,street,0.577,50.728
625,100,0,250,1,2m,burglary,0.369,48.943
625,100,0,250,1,2m,vehicle,0.359,39.192
625,100,0,250,1,3m,all,0.629,38.234
625,100,0,250,1,3m,street,0.571,49.706
625,100,0,250,1,3m,burglary,0.369,45.93
625,100,0,250,1,3m,vehicle,0.349,36.566
625,100,0,500,1,1w,all,0.566,34.516
625,100,0,500,1,1w,street,0.567,50.671
625,100,0,500,1,1w,burglary,0.371,57.534
625,100,0,500,1,1w,vehicle,0.207,23.625
625,100,0,500,1,2w,all,0.564,34.386
625,100,0,500,1,2w,street,0.568,50.631
625,100,0,500,1,2w,burglary,0.376,56.781
625,100,0,500,1,2w,vehicle,0.209,23.713
625,100,0,500,1,1m,all,0.564,34.306
625,100,0,500,1,1m,street,0.568,50.332
625,100,0,500,1,1m,burglary,0.368,52.429
625,100,0,500,1,1m,vehicle,0.2,22.254
625,100,0,500,1,2m,all,0.563,34.231
625,100,0,500,1,2m,street,0.57,50.106
625,100,0,500,1,2m,burglary,0.355,47.06
625,100,0,500,1,2m,vehicle,0.188,20.547
625,100,0,500,1,3m,all,0.566,34.381
625,100,0,500,1,3m,street,0.572,49.809
625,100,0,500,1,3m,burglary,0.355,44.163
625,100,0,500,1,3m,vehicle,0.2,20.946
625,100,0,800,1,1w,all,0.53,32.347
625,100,0,800,1,1w,street,0.569,50.819
625,100,0,800,1,1w,burglary,0.265,41.096
625,100,0,800,1,1w,vehicle,0.227,25.987
625,100,0,800,1,2w,all,0.528,32.229
625,100,0,800,1,2w,street,0.569,50.738
625,100,0,800,1,2w,burglary,0.263,39.747
625,100,0,800,1,2w,vehicle,0.225,25.537
625,100,0,800,1,1m,all,0.527,32.098
625,100,0,800,1,1m,street,0.567,50.266
625,100,0,800,1,1m,burglary,0.257,36.7
625,100,0,800,1,1m,vehicle,0.211,23.513
625,100,0,800,1,2m,all,0.526,31.993
625,100,0,800,1,2m,street,0.566,49.823
625,100,0,800,1,2m,burglary,0.248,32.942
625,100,0,800,1,2m,vehicle,0.199,21.689
625,100,0,800,1,3m,all,0.529,32.146
625,100,0,800,1,3m,street,0.567,49.32
625,100,0,800,1,3m,burglary,0.255,31.798
625,100,0,800,1,3m,vehicle,0.21,22.011
625,100,0,1000,1,1w,all,0.502,30.63
625,100,0,1000,1,1w,street,0.581,51.893
625,100,0,1000,1,1w,burglary,0.076,11.742
625,100,0,1000,1,1w,vehicle,0.186,21.262
625,100,0,1000,1,2w,all,0.501,30.558
625,100,0,1000,1,2w,street,0.581,51.813
625,100,0,1000,1,2w,burglary,0.075,11.356
625,100,0,1000,1,2w,vehicle,0.189,21.433
625,100,0,1000,1,1m,all,0.501,30.492
625,100,0,1000,1,1m,street,0.578,51.253
625,100,0,1000,1,1m,burglary,0.074,10.486
625,100,0,1000,1,1m,vehicle,0.181,20.154
625,100,0,1000,1,2m,all,0.5,30.429
625,100,0,1000,1,2m,street,0.581,51.068
625,100,0,1000,1,2m,burglary,0.071,9.412
625,100,0,1000,1,2m,vehicle,0.178,19.406
625,100,0,1000,1,3m,all,0.502,30.544
625,100,0,1000,1,3m,street,0.58,50.505
625,100,0,1000,1,3m,burglary,0.078,9.716
625,100,0,1000,1,3m,vehicle,0.19,19.881
250,250,0,250,1,1w,vehicle,0.624,69.929
250,250,0,250,1,1w,vehicle,0.128,75.096
